Key,Practice,Area,Knowledge,Data_Munging,Data_Ingestion,Visualisation,Statistics,Machine_Learning,Text_Mining,Big_Data,Python,R,Hadoop
108,Customer Experience,Visualisation,3.Moderate knowledge,1 - No knowledge ,2 - Limited knowledge,3 - Moderate knowledge,2 - Limited knowledge,1 - No knowledge,3 - Moderate knowledge,3 - Moderate knowledge,2 - Limited knowledge,1 - No knowledge,1 - No knowledge
109,Customer Experience,Visualisation,2.Limited knowledge,1 - No knowledge ,1 - No knowledge,2 - Limited knowledge,2 - Limited knowledge,1 - No knowledge,1 - No knowledge,2 - Limited knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge
110,Customer Experience,Visualisation,3.Moderate knowledge,1 - No knowledge ,1 - No knowledge,3 - Moderate knowledge,2 - Limited knowledge,1 - No knowledge,3 - Moderate knowledge,4 - Substantial knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge
111,Analytics,Visualisation,3.Moderate knowledge,2 - Limited knowledge ,3 - Moderate knowledge,3 - Moderate knowledge,3 - Moderate knowledge,3 - Moderate knowledge,1 - No knowledge,3 - Moderate knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge
112,Analytics,Visualisation,4.Substantial knowledge,1 - No knowledge ,3 - Moderate knowledge,4 - Substantial knowledge,4 - Substantial knowledge,2 - Limited knowledge,1 - No knowledge,3 - Moderate knowledge,1 - No knowledge,2 - Limited knowledge,3 - Moderate knowledge
113,Customer Experience,Visualisation,1.No knowledge,1 - No knowledge ,2 - Limited knowledge,1 - No knowledge,3 - Moderate knowledge,1 - No knowledge,1 - No knowledge,2 - Limited knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge
114,Analytics,Visualisation,3.Moderate knowledge,1 - No knowledge ,1 - No knowledge,3 - Moderate knowledge,3 - Moderate knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge
115,Customer Experience,Visualisation,1.No knowledge,1 - No knowledge ,1 - No knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge
116,Customer Experience,Visualisation,3.Moderate knowledge,2 - Limited knowledge ,2 - Limited knowledge,3 - Moderate knowledge,3 - Moderate knowledge,2 - Limited knowledge,2 - Limited knowledge,3 - Moderate knowledge,2 - Limited knowledge,1 - No knowledge,2 - Limited knowledge
117,Analytics,Visualisation,3.Moderate knowledge,1 - No knowledge ,1 - No knowledge,3 - Moderate knowledge,4 - Substantial knowledge,1 - No knowledge,2 - Limited knowledge,2 - Limited knowledge,1 - No knowledge,2 - Limited knowledge,1 - No knowledge
118,Analytics,Visualisation,2.Limited knowledge,1 - No knowledge ,2 - Limited knowledge,2 - Limited knowledge,3 - Moderate knowledge,1 - No knowledge,2 - Limited knowledge,3 - Moderate knowledge,2 - Limited knowledge,3 - Moderate knowledge,3 - Moderate knowledge
119,Analytics,Visualisation,3.Moderate knowledge,3 - Moderate knowledge,2 - Limited knowledge,3 - Moderate knowledge,5 - Extensive knowledge,2 - Limited knowledge,1 - No knowledge,2 - Limited knowledge,1 - No knowledge,3 - Moderate knowledge,1 - No knowledge
120,Analytics,Visualisation,3.Moderate knowledge,3 - Moderate knowledge,3 - Moderate knowledge,3 - Moderate knowledge,5 - Extensive knowledge,4 - Substantial knowledge,4 - Substantial knowledge,4 - Substantial knowledge,2 - Limited knowledge,3 - Moderate knowledge,4 - Substantial knowledge
121,Analytics,Visualisation,4.Substantial knowledge,1 - No knowledge ,2 - Limited knowledge,4 - Substantial knowledge,5 - Extensive knowledge,3 - Moderate knowledge,4 - Substantial knowledge,2 - Limited knowledge,1 - No knowledge,2 - Limited knowledge,2 - Limited knowledge
122,Analytics,Visualisation,3.Moderate knowledge,2 - Limited knowledge ,3 - Moderate knowledge,3 - Moderate knowledge,5 - Extensive knowledge,2 - Limited knowledge,4 - Substantial knowledge,3 - Moderate knowledge,2 - Limited knowledge,2 - Limited knowledge,2 - Limited knowledge
123,Analytics,Visualisation,3.Moderate knowledge,2 - Limited knowledge ,3 - Moderate knowledge,3 - Moderate knowledge,4 - Substantial knowledge,2 - Limited knowledge,2 - Limited knowledge,5 - Extensive knowledge,3 - Moderate knowledge,4 - Substantial knowledge,4 - Substantial knowledge
124,Analytics,Statistics,4.Substantial knowledge,4 - Substantial knowledge,2 - Limited knowledge,5 - Extensive knowledge,4 - Substantial knowledge,2 - Limited knowledge,2 - Limited knowledge,2 - Limited knowledge,1 - No knowledge,2 - Limited knowledge,1 - No knowledge
125,Analytics,Statistics,4.Substantial knowledge,1 - No knowledge ,1 - No knowledge,3 - Moderate knowledge,4 - Substantial knowledge,1 - No knowledge,2 - Limited knowledge,3 - Moderate knowledge,1 - No knowledge,2 - Limited knowledge,1 - No knowledge
126,Analytics,Statistics,5.Extensive knowledge,1 - No knowledge ,1 - No knowledge,4 - Substantial knowledge,5 - Extensive knowledge,3 - Moderate knowledge,4 - Substantial knowledge,4 - Substantial knowledge,2 - Limited knowledge,1 - No knowledge,1 - No knowledge
127,Analytics,Statistics,5.Extensive knowledge,4 - Substantial knowledge,3 - Moderate knowledge,4 - Substantial knowledge,5 - Extensive knowledge,3 - Moderate knowledge,3 - Moderate knowledge,3 - Moderate knowledge,2 - Limited knowledge,4 - Substantial knowledge,3 - Moderate knowledge
128,Analytics,Statistics,3.Moderate knowledge,1 - No knowledge ,1 - No knowledge,3 - Moderate knowledge,3 - Moderate knowledge,1 - No knowledge,1 - No knowledge,2 - Limited knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge
129,Analytics,Statistics,4.Substantial knowledge,4 - Substantial knowledge,4 - Substantial knowledge,3 - Moderate knowledge,4 - Substantial knowledge,3 - Moderate knowledge,1 - No knowledge,4 - Substantial knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge
130,Analytics,Statistics,4.Substantial knowledge,2 - Limited knowledge ,2 - Limited knowledge,3 - Moderate knowledge,4 - Substantial knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge,3 - Moderate knowledge,1 - No knowledge
131,Analytics,Statistics,2.Limited knowledge,1 - No knowledge ,1 - No knowledge,3 - Moderate knowledge,2 - Limited knowledge,2 - Limited knowledge,2 - Limited knowledge,2 - Limited knowledge,2 - Limited knowledge,2 - Limited knowledge,1 - No knowledge
132,Analytics,Statistics,3.Moderate knowledge,1 - No knowledge ,3 - Moderate knowledge,3 - Moderate knowledge,3 - Moderate knowledge,1 - No knowledge,3 - Moderate knowledge,3 - Moderate knowledge,1 - No knowledge,2 - Limited knowledge,2 - Limited knowledge
133,Analytics,Statistics,2.Limited knowledge,1 - No knowledge ,1 - No knowledge,2 - Limited knowledge,2 - Limited knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge
134,Customer Experience,Statistics,1.No knowledge,1 - No knowledge ,1 - No knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge,2 - Limited knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge
135,Customer Experience,Statistics,3.Moderate knowledge,1 - No knowledge ,1 - No knowledge,2 - Limited knowledge,3 - Moderate knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge
136,Customer Experience,Statistics,5.Extensive knowledge,3 - Moderate knowledge,3 - Moderate knowledge,3 - Moderate knowledge,5 - Extensive knowledge,3 - Moderate knowledge,3 - Moderate knowledge,3 - Moderate knowledge,1 - No knowledge,4 - Substantial knowledge,2 - Limited knowledge
137,Analytics,Statistics,3.Moderate knowledge,1 - No knowledge ,1 - No knowledge,3 - Moderate knowledge,3 - Moderate knowledge,1 - No knowledge,2 - Limited knowledge,2 - Limited knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge
138,Analytics,Statistics,3.Moderate knowledge,1 - No knowledge ,2 - Limited knowledge,3 - Moderate knowledge,3 - Moderate knowledge,1 - No knowledge,2 - Limited knowledge,3 - Moderate knowledge,1 - No knowledge,1 - No knowledge,3 - Moderate knowledge
139,Analytics,Statistics,5.Extensive knowledge,1 - No knowledge ,2 - Limited knowledge,2 - Limited knowledge,5 - Extensive knowledge,3 - Moderate knowledge,3 - Moderate knowledge,3 - Moderate knowledge,2 - Limited knowledge,3 - Moderate knowledge,4 - Substantial knowledge
140,Analytics,Statistics,3.Moderate knowledge,2 - Limited knowledge ,2 - Limited knowledge,4 - Substantial knowledge,3 - Moderate knowledge,1 - No knowledge,1 - No knowledge,2 - Limited knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge
141,Customer Experience,Statistics,2.Limited knowledge,1 - No knowledge ,1 - No knowledge,2 - Limited knowledge,2 - Limited knowledge,1 - No knowledge,1 - No knowledge,2 - Limited knowledge,1 - No knowledge,2 - Limited knowledge,1 - No knowledge
142,Customer Experience,Statistics,3.Moderate knowledge,1 - No knowledge ,1 - No knowledge,1 - No knowledge,3 - Moderate knowledge,1 - No knowledge,1 - No knowledge,3 - Moderate knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge
143,Analytics,Statistics,4.Substantial knowledge,1 - No knowledge ,4 - Substantial knowledge,3 - Moderate knowledge,4 - Substantial knowledge,1 - No knowledge,2 - Limited knowledge,2 - Limited knowledge,1 - No knowledge,3 - Moderate knowledge,2 - Limited knowledge
144,Customer Experience,Statistics,3.Moderate knowledge,1 - No knowledge ,1 - No knowledge,2 - Limited knowledge,3 - Moderate knowledge,1 - No knowledge,1 - No knowledge,2 - Limited knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge
145,Customer Experience,Statistics,2.Limited knowledge,1 - No knowledge ,1 - No knowledge,2 - Limited knowledge,2 - Limited knowledge,1 - No knowledge,1 - No knowledge,2 - Limited knowledge,1 - No knowledge,2 - Limited knowledge,1 - No knowledge
146,Analytics,Statistics,5.Extensive knowledge,3 - Moderate knowledge,4 - Substantial knowledge,4 - Substantial knowledge,5 - Extensive knowledge,2 - Limited knowledge,2 - Limited knowledge,2 - Limited knowledge,2 - Limited knowledge,4 - Substantial knowledge,2 - Limited knowledge
147,Analytics,Statistics,4.Substantial knowledge,1 - No knowledge ,1 - No knowledge,1 - No knowledge,4 - Substantial knowledge,1 - No knowledge,1 - No knowledge,2 - Limited knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge
148,Customer Experience,Statistics,2.Limited knowledge,1 - No knowledge ,3 - Moderate knowledge,2 - Limited knowledge,2 - Limited knowledge,1 - No knowledge,1 - No knowledge,2 - Limited knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge
149,Customer Experience,Statistics,2.Limited knowledge,1 - No knowledge ,2 - Limited knowledge,3 - Moderate knowledge,2 - Limited knowledge,1 - No knowledge,3 - Moderate knowledge,3 - Moderate knowledge,2 - Limited knowledge,1 - No knowledge,1 - No knowledge
150,Customer Experience,Statistics,2.Limited knowledge,1 - No knowledge ,1 - No knowledge,2 - Limited knowledge,2 - Limited knowledge,1 - No knowledge,1 - No knowledge,2 - Limited knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge
151,Customer Experience,Statistics,2.Limited knowledge,1 - No knowledge ,1 - No knowledge,3 - Moderate knowledge,2 - Limited knowledge,1 - No knowledge,3 - Moderate knowledge,4 - Substantial knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge
152,Analytics,Statistics,3.Moderate knowledge,2 - Limited knowledge ,3 - Moderate knowledge,3 - Moderate knowledge,3 - Moderate knowledge,3 - Moderate knowledge,1 - No knowledge,3 - Moderate knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge
153,Analytics,Statistics,4.Substantial knowledge,1 - No knowledge ,3 - Moderate knowledge,4 - Substantial knowledge,4 - Substantial knowledge,2 - Limited knowledge,1 - No knowledge,3 - Moderate knowledge,1 - No knowledge,2 - Limited knowledge,3 - Moderate knowledge
154,Customer Experience,Statistics,3.Moderate knowledge,1 - No knowledge ,2 - Limited knowledge,1 - No knowledge,3 - Moderate knowledge,1 - No knowledge,1 - No knowledge,2 - Limited knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge
155,Analytics,Statistics,3.Moderate knowledge,1 - No knowledge ,1 - No knowledge,3 - Moderate knowledge,3 - Moderate knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge
156,Customer Experience,Statistics,1.No knowledge,1 - No knowledge ,1 - No knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge
157,Customer Experience,Statistics,3.Moderate knowledge,2 - Limited knowledge ,2 - Limited knowledge,3 - Moderate knowledge,3 - Moderate knowledge,2 - Limited knowledge,2 - Limited knowledge,3 - Moderate knowledge,2 - Limited knowledge,1 - No knowledge,2 - Limited knowledge
158,Analytics,Statistics,4.Substantial knowledge,1 - No knowledge ,1 - No knowledge,3 - Moderate knowledge,4 - Substantial knowledge,1 - No knowledge,2 - Limited knowledge,2 - Limited knowledge,1 - No knowledge,2 - Limited knowledge,1 - No knowledge
159,Analytics,Statistics,3.Moderate knowledge,1 - No knowledge ,2 - Limited knowledge,2 - Limited knowledge,3 - Moderate knowledge,1 - No knowledge,2 - Limited knowledge,3 - Moderate knowledge,2 - Limited knowledge,3 - Moderate knowledge,3 - Moderate knowledge
160,Analytics,Statistics,5.Extensive knowledge,3 - Moderate knowledge,2 - Limited knowledge,3 - Moderate knowledge,5 - Extensive knowledge,2 - Limited knowledge,1 - No knowledge,2 - Limited knowledge,1 - No knowledge,3 - Moderate knowledge,1 - No knowledge
161,Analytics,Statistics,5.Extensive knowledge,3 - Moderate knowledge,3 - Moderate knowledge,3 - Moderate knowledge,5 - Extensive knowledge,4 - Substantial knowledge,4 - Substantial knowledge,4 - Substantial knowledge,2 - Limited knowledge,3 - Moderate knowledge,4 - Substantial knowledge
162,Analytics,Statistics,5.Extensive knowledge,1 - No knowledge ,2 - Limited knowledge,4 - Substantial knowledge,5 - Extensive knowledge,3 - Moderate knowledge,4 - Substantial knowledge,2 - Limited knowledge,1 - No knowledge,2 - Limited knowledge,2 - Limited knowledge
163,Analytics,Statistics,5.Extensive knowledge,2 - Limited knowledge ,3 - Moderate knowledge,3 - Moderate knowledge,5 - Extensive knowledge,2 - Limited knowledge,4 - Substantial knowledge,3 - Moderate knowledge,2 - Limited knowledge,2 - Limited knowledge,2 - Limited knowledge
164,Analytics,Statistics,4.Substantial knowledge,2 - Limited knowledge ,3 - Moderate knowledge,3 - Moderate knowledge,4 - Substantial knowledge,2 - Limited knowledge,2 - Limited knowledge,5 - Extensive knowledge,3 - Moderate knowledge,4 - Substantial knowledge,4 - Substantial knowledge
165,Analytics,Machine Learning,2.Limited knowledge,4 - Substantial knowledge,2 - Limited knowledge,5 - Extensive knowledge,4 - Substantial knowledge,2 - Limited knowledge,2 - Limited knowledge,2 - Limited knowledge,1 - No knowledge,2 - Limited knowledge,1 - No knowledge
166,Analytics,Machine Learning,1.No knowledge,1 - No knowledge ,1 - No knowledge,3 - Moderate knowledge,4 - Substantial knowledge,1 - No knowledge,2 - Limited knowledge,3 - Moderate knowledge,1 - No knowledge,2 - Limited knowledge,1 - No knowledge
167,Analytics,Machine Learning,3.Moderate knowledge,1 - No knowledge ,1 - No knowledge,4 - Substantial knowledge,5 - Extensive knowledge,3 - Moderate knowledge,4 - Substantial knowledge,4 - Substantial knowledge,2 - Limited knowledge,1 - No knowledge,1 - No knowledge
168,Analytics,Machine Learning,3.Moderate knowledge,4 - Substantial knowledge,3 - Moderate knowledge,4 - Substantial knowledge,5 - Extensive knowledge,3 - Moderate knowledge,3 - Moderate knowledge,3 - Moderate knowledge,2 - Limited knowledge,4 - Substantial knowledge,3 - Moderate knowledge
169,Analytics,Machine Learning,1.No knowledge,1 - No knowledge ,1 - No knowledge,3 - Moderate knowledge,3 - Moderate knowledge,1 - No knowledge,1 - No knowledge,2 - Limited knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge
170,Analytics,Machine Learning,3.Moderate knowledge,4 - Substantial knowledge,4 - Substantial knowledge,3 - Moderate knowledge,4 - Substantial knowledge,3 - Moderate knowledge,1 - No knowledge,4 - Substantial knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge
171,Analytics,Machine Learning,1.No knowledge,2 - Limited knowledge ,2 - Limited knowledge,3 - Moderate knowledge,4 - Substantial knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge,3 - Moderate knowledge,1 - No knowledge
172,Analytics,Machine Learning,2.Limited knowledge,1 - No knowledge ,1 - No knowledge,3 - Moderate knowledge,2 - Limited knowledge,2 - Limited knowledge,2 - Limited knowledge,2 - Limited knowledge,2 - Limited knowledge,2 - Limited knowledge,1 - No knowledge
173,Analytics,Machine Learning,1.No knowledge,1 - No knowledge ,3 - Moderate knowledge,3 - Moderate knowledge,3 - Moderate knowledge,1 - No knowledge,3 - Moderate knowledge,3 - Moderate knowledge,1 - No knowledge,2 - Limited knowledge,2 - Limited knowledge
174,Analytics,Machine Learning,1.No knowledge,1 - No knowledge ,1 - No knowledge,2 - Limited knowledge,2 - Limited knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge
175,Customer Experience,Machine Learning,1.No knowledge,1 - No knowledge ,1 - No knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge,2 - Limited knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge
176,Customer Experience,Machine Learning,1.No knowledge,1 - No knowledge ,1 - No knowledge,2 - Limited knowledge,3 - Moderate knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge
177,Customer Experience,Machine Learning,3.Moderate knowledge,3 - Moderate knowledge,3 - Moderate knowledge,3 - Moderate knowledge,5 - Extensive knowledge,3 - Moderate knowledge,3 - Moderate knowledge,3 - Moderate knowledge,1 - No knowledge,4 - Substantial knowledge,2 - Limited knowledge
178,Analytics,Machine Learning,1.No knowledge,1 - No knowledge ,1 - No knowledge,3 - Moderate knowledge,3 - Moderate knowledge,1 - No knowledge,2 - Limited knowledge,2 - Limited knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge
179,Analytics,Machine Learning,1.No knowledge,1 - No knowledge ,2 - Limited knowledge,3 - Moderate knowledge,3 - Moderate knowledge,1 - No knowledge,2 - Limited knowledge,3 - Moderate knowledge,1 - No knowledge,1 - No knowledge,3 - Moderate knowledge
180,Analytics,Machine Learning,3.Moderate knowledge,1 - No knowledge ,2 - Limited knowledge,2 - Limited knowledge,5 - Extensive knowledge,3 - Moderate knowledge,3 - Moderate knowledge,3 - Moderate knowledge,2 - Limited knowledge,3 - Moderate knowledge,4 - Substantial knowledge
181,Analytics,Machine Learning,1.No knowledge,2 - Limited knowledge ,2 - Limited knowledge,4 - Substantial knowledge,3 - Moderate knowledge,1 - No knowledge,1 - No knowledge,2 - Limited knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge
182,Customer Experience,Machine Learning,1.No knowledge,1 - No knowledge ,1 - No knowledge,2 - Limited knowledge,2 - Limited knowledge,1 - No knowledge,1 - No knowledge,2 - Limited knowledge,1 - No knowledge,2 - Limited knowledge,1 - No knowledge
183,Customer Experience,Machine Learning,1.No knowledge,1 - No knowledge ,1 - No knowledge,1 - No knowledge,3 - Moderate knowledge,1 - No knowledge,1 - No knowledge,3 - Moderate knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge
184,Analytics,Machine Learning,1.No knowledge,1 - No knowledge ,4 - Substantial knowledge,3 - Moderate knowledge,4 - Substantial knowledge,1 - No knowledge,2 - Limited knowledge,2 - Limited knowledge,1 - No knowledge,3 - Moderate knowledge,2 - Limited knowledge
185,Customer Experience,Machine Learning,1.No knowledge,1 - No knowledge ,1 - No knowledge,2 - Limited knowledge,3 - Moderate knowledge,1 - No knowledge,1 - No knowledge,2 - Limited knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge
186,Customer Experience,Machine Learning,1.No knowledge,1 - No knowledge ,1 - No knowledge,2 - Limited knowledge,2 - Limited knowledge,1 - No knowledge,1 - No knowledge,2 - Limited knowledge,1 - No knowledge,2 - Limited knowledge,1 - No knowledge
187,Analytics,Machine Learning,2.Limited knowledge,3 - Moderate knowledge,4 - Substantial knowledge,4 - Substantial knowledge,5 - Extensive knowledge,2 - Limited knowledge,2 - Limited knowledge,2 - Limited knowledge,2 - Limited knowledge,4 - Substantial knowledge,2 - Limited knowledge
188,Analytics,Machine Learning,1.No knowledge,1 - No knowledge ,1 - No knowledge,1 - No knowledge,4 - Substantial knowledge,1 - No knowledge,1 - No knowledge,2 - Limited knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge
189,Customer Experience,Machine Learning,1.No knowledge,1 - No knowledge ,3 - Moderate knowledge,2 - Limited knowledge,2 - Limited knowledge,1 - No knowledge,1 - No knowledge,2 - Limited knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge
190,Customer Experience,Machine Learning,1.No knowledge,1 - No knowledge ,2 - Limited knowledge,3 - Moderate knowledge,2 - Limited knowledge,1 - No knowledge,3 - Moderate knowledge,3 - Moderate knowledge,2 - Limited knowledge,1 - No knowledge,1 - No knowledge
191,Customer Experience,Machine Learning,1.No knowledge,1 - No knowledge ,1 - No knowledge,2 - Limited knowledge,2 - Limited knowledge,1 - No knowledge,1 - No knowledge,2 - Limited knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge
192,Customer Experience,Machine Learning,1.No knowledge,1 - No knowledge ,1 - No knowledge,3 - Moderate knowledge,2 - Limited knowledge,1 - No knowledge,3 - Moderate knowledge,4 - Substantial knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge
193,Analytics,Machine Learning,3.Moderate knowledge,2 - Limited knowledge ,3 - Moderate knowledge,3 - Moderate knowledge,3 - Moderate knowledge,3 - Moderate knowledge,1 - No knowledge,3 - Moderate knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge
194,Analytics,Machine Learning,2.Limited knowledge,1 - No knowledge ,3 - Moderate knowledge,4 - Substantial knowledge,4 - Substantial knowledge,2 - Limited knowledge,1 - No knowledge,3 - Moderate knowledge,1 - No knowledge,2 - Limited knowledge,3 - Moderate knowledge
195,Customer Experience,Machine Learning,1.No knowledge,1 - No knowledge ,2 - Limited knowledge,1 - No knowledge,3 - Moderate knowledge,1 - No knowledge,1 - No knowledge,2 - Limited knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge
196,Analytics,Machine Learning,1.No knowledge,1 - No knowledge ,1 - No knowledge,3 - Moderate knowledge,3 - Moderate knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge
197,Customer Experience,Machine Learning,1.No knowledge,1 - No knowledge ,1 - No knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge
198,Customer Experience,Machine Learning,2.Limited knowledge,2 - Limited knowledge ,2 - Limited knowledge,3 - Moderate knowledge,3 - Moderate knowledge,2 - Limited knowledge,2 - Limited knowledge,3 - Moderate knowledge,2 - Limited knowledge,1 - No knowledge,2 - Limited knowledge
199,Analytics,Machine Learning,1.No knowledge,1 - No knowledge ,1 - No knowledge,3 - Moderate knowledge,4 - Substantial knowledge,1 - No knowledge,2 - Limited knowledge,2 - Limited knowledge,1 - No knowledge,2 - Limited knowledge,1 - No knowledge
200,Analytics,Machine Learning,1.No knowledge,1 - No knowledge ,2 - Limited knowledge,2 - Limited knowledge,3 - Moderate knowledge,1 - No knowledge,2 - Limited knowledge,3 - Moderate knowledge,2 - Limited knowledge,3 - Moderate knowledge,3 - Moderate knowledge
201,Analytics,Machine Learning,2.Limited knowledge,3 - Moderate knowledge,2 - Limited knowledge,3 - Moderate knowledge,5 - Extensive knowledge,2 - Limited knowledge,1 - No knowledge,2 - Limited knowledge,1 - No knowledge,3 - Moderate knowledge,1 - No knowledge
202,Analytics,Machine Learning,4.Substantial knowledge,3 - Moderate knowledge,3 - Moderate knowledge,3 - Moderate knowledge,5 - Extensive knowledge,4 - Substantial knowledge,4 - Substantial knowledge,4 - Substantial knowledge,2 - Limited knowledge,3 - Moderate knowledge,4 - Substantial knowledge
203,Analytics,Machine Learning,3.Moderate knowledge,1 - No knowledge ,2 - Limited knowledge,4 - Substantial knowledge,5 - Extensive knowledge,3 - Moderate knowledge,4 - Substantial knowledge,2 - Limited knowledge,1 - No knowledge,2 - Limited knowledge,2 - Limited knowledge
204,Analytics,Machine Learning,2.Limited knowledge,2 - Limited knowledge ,3 - Moderate knowledge,3 - Moderate knowledge,5 - Extensive knowledge,2 - Limited knowledge,4 - Substantial knowledge,3 - Moderate knowledge,2 - Limited knowledge,2 - Limited knowledge,2 - Limited knowledge
205,Analytics,Machine Learning,2.Limited knowledge,2 - Limited knowledge ,3 - Moderate knowledge,3 - Moderate knowledge,4 - Substantial knowledge,2 - Limited knowledge,2 - Limited knowledge,5 - Extensive knowledge,3 - Moderate knowledge,4 - Substantial knowledge,4 - Substantial knowledge
206,Analytics,Text Mining,2.Limited knowledge,4 - Substantial knowledge,2 - Limited knowledge,5 - Extensive knowledge,4 - Substantial knowledge,2 - Limited knowledge,2 - Limited knowledge,2 - Limited knowledge,1 - No knowledge,2 - Limited knowledge,1 - No knowledge
207,Analytics,Text Mining,2.Limited knowledge,1 - No knowledge ,1 - No knowledge,3 - Moderate knowledge,4 - Substantial knowledge,1 - No knowledge,2 - Limited knowledge,3 - Moderate knowledge,1 - No knowledge,2 - Limited knowledge,1 - No knowledge
208,Analytics,Text Mining,4.Substantial knowledge,1 - No knowledge ,1 - No knowledge,4 - Substantial knowledge,5 - Extensive knowledge,3 - Moderate knowledge,4 - Substantial knowledge,4 - Substantial knowledge,2 - Limited knowledge,1 - No knowledge,1 - No knowledge
209,Analytics,Text Mining,3.Moderate knowledge,4 - Substantial knowledge,3 - Moderate knowledge,4 - Substantial knowledge,5 - Extensive knowledge,3 - Moderate knowledge,3 - Moderate knowledge,3 - Moderate knowledge,2 - Limited knowledge,4 - Substantial knowledge,3 - Moderate knowledge
210,Analytics,Text Mining,1.No knowledge,1 - No knowledge ,1 - No knowledge,3 - Moderate knowledge,3 - Moderate knowledge,1 - No knowledge,1 - No knowledge,2 - Limited knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge
211,Analytics,Text Mining,1.No knowledge,4 - Substantial knowledge,4 - Substantial knowledge,3 - Moderate knowledge,4 - Substantial knowledge,3 - Moderate knowledge,1 - No knowledge,4 - Substantial knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge
212,Analytics,Text Mining,1.No knowledge,2 - Limited knowledge ,2 - Limited knowledge,3 - Moderate knowledge,4 - Substantial knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge,3 - Moderate knowledge,1 - No knowledge
213,Analytics,Text Mining,2.Limited knowledge,1 - No knowledge ,1 - No knowledge,3 - Moderate knowledge,2 - Limited knowledge,2 - Limited knowledge,2 - Limited knowledge,2 - Limited knowledge,2 - Limited knowledge,2 - Limited knowledge,1 - No knowledge
214,Analytics,Text Mining,3.Moderate knowledge,1 - No knowledge ,3 - Moderate knowledge,3 - Moderate knowledge,3 - Moderate knowledge,1 - No knowledge,3 - Moderate knowledge,3 - Moderate knowledge,1 - No knowledge,2 - Limited knowledge,2 - Limited knowledge
